,ACB,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PLX,PNJ,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIC,VJC,VNM,VPB,VRE
20,27520.0,35060.3,62400.0,32928.0,70757.2,88800.0,28500.0,22400.0,36501.1,28955.0,31350.0,92100.0,88687.0,50637.0,61414.5,55900.0,90300.0,13800.0,174000.0,23692.8,22700.0,41600.0,21333.3,75484.0,75257.0,111022.0,131800.0,99800.0,26222.5,35000.0
21,28120.0,35416.5,62400.0,33470.0,70757.2,87900.0,28400.0,22320.0,37716.6,29182.0,31650.0,91900.0,89751.0,53619.0,61145.9,55900.0,91800.0,14250.0,175000.0,24533.0,23450.0,42150.0,21592.6,76567.0,77463.0,117333.0,131800.0,100000.0,27222.5,35300.0
22,27680.0,34545.9,60800.0,32579.0,69550.6,86000.0,27550.0,22120.0,36906.3,28591.0,31100.0,94200.0,89751.0,54351.0,60698.3,54900.0,90700.0,13850.0,173400.0,23928.1,22700.0,41600.0,21925.9,75484.0,77996.0,125067.0,131900.0,100000.0,27611.4,35300.0
23,27680.0,34822.9,60700.0,33122.0,69809.2,86500.0,27350.0,22320.0,39042.6,28818.0,31250.0,100700.0,90084.0,56320.0,60519.2,55200.0,91500.0,13800.0,172700.0,24163.3,22900.0,41800.0,21963.0,76413.0,76474.0,124445.0,132000.0,99300.0,27833.6,35000.0
24,27080.0,34071.0,59500.0,32696.0,68947.3,86000.0,26650.0,21880.0,40147.5,28273.0,30600.0,100000.0,88953.0,57670.0,60519.2,54400.0,92000.0,13400.0,171700.0,23424.0,22350.0,40900.0,21333.3,75484.0,77007.0,125245.0,131700.0,99100.0,27778.1,34000.0
25,26480.0,33240.0,57900.0,32541.0,68688.8,86000.0,25500.0,21320.0,40221.2,28545.0,30200.0,100100.0,89152.0,60765.0,63563.1,52800.0,90900.0,13200.0,169100.0,22852.7,22100.0,40450.0,20518.5,74555.0,76854.0,127111.0,129000.0,96900.0,27194.7,33950.0
26,26960.0,34031.5,59500.0,32928.0,70240.1,87200.0,26000.0,21840.0,42578.5,30091.0,30500.0,107100.0,91415.0,61327.0,67949.9,52500.0,94000.0,13100.0,170000.0,23390.4,22900.0,41600.0,20963.0,76258.0,79518.0,128000.0,129200.0,96100.0,27528.1,33950.0
27,26880.0,34189.8,60000.0,32541.0,71446.7,88000.0,25200.0,21760.0,42136.5,31045.0,30500.0,105500.0,94808.0,61046.0,71083.2,52900.0,94400.0,13000.0,170000.0,22919.9,22500.0,41150.0,20592.6,79742.0,82638.0,127200.0,131000.0,99300.0,27500.3,34600.0
28,26000.0,32448.6,58000.0,30332.0,68947.3,85800.0,23450.0,21040.0,40515.9,30000.0,29200.0,98200.0,94808.0,60371.0,68397.5,51000.0,93900.0,12350.0,167600.0,21340.3,21000.0,39700.0,20000.0,79742.0,78452.0,123378.0,130400.0,98000.0,27222.5,32200.0
29,26720.0,33240.0,59000.0,31998.0,71532.8,86000.0,24250.0,21520.0,41547.2,32091.0,30300.0,100000.0,98134.0,60202.0,70277.5,51000.0,96000.0,12600.0,170000.0,22180.5,22450.0,40500.0,20740.7,80516.0,79898.0,122933.0,129500.0,99500.0,28333.6,32800.0
30,26640.0,32052.9,57400.0,30759.0,69809.2,81500.0,23700.0,21200.0,40589.5,31364.0,29600.0,95000.0,94808.0,64365.0,74200.0,49950.0,95000.0,12100.0,170000.0,21306.7,22550.0,39450.0,20111.1,76335.0,75789.0,116889.0,127500.0,96000.0,29444.8,31150.0
31,27200.0,31934.2,56900.0,30720.0,69550.6,81500.0,23400.0,21440.0,41473.5,31409.0,29600.0,98000.0,94408.0,68360.0,72200.0,48600.0,96000.0,12100.0,169800.0,21374.0,23100.0,39500.0,20074.1,76645.0,76094.0,117422.0,127200.0,95700.0,29555.9,30600.0
32,27040.0,32132.0,57400.0,30797.0,69636.8,81900.0,25000.0,21480.0,41252.5,31682.0,30250.0,99000.0,93144.0,72017.0,71500.0,50000.0,95700.0,12200.0,169800.0,21575.6,24200.0,39950.0,20185.2,76645.0,76778.0,116889.0,126000.0,93700.0,30555.9,31500.0
