,ACB,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PLX,PNJ,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIC,VJC,VNM,VPB,VRE
21,"35,600.0","48,400.0","55,900.0","36,350.0","90,700.0","110,000.0","33,100","31,600.0","47,300.0","53,100.0","33,300.0","146,600","137,000","79,000","90,800.0","59,400.0","103,300.0","17,800.0","153,800","45,700.0","35,050.0","53,600.0","41,500.0","90,800","81,500","85,700","135,000","82,800.0","37,100.0","35,900.0"
22,"35,550.0","48,400.0","55,400.0","36,750.0","92,000.0","112,000.0","33,600","31,500.0","47,000.0","52,800.0","33,750.0","149,600","136,300","78,500","90,000.0","60,500.0","103,300.0","18,550.0","157,000","45,100.0","34,750.0","53,600.0","41,200.0","91,300","80,100","84,000","133,000","82,700.0","36,700.0","36,000.0"
23,"35,700.0","47,900.0","55,100.0","36,800.0","91,600.0","111,000.0","33,950","31,200.0","47,150.0","52,800.0","33,950.0","149,800","135,300","78,100","90,100.0","59,400.0","104,800.0","18,300.0","159,600","45,100.0","35,300.0","53,700.0","42,850.0","90,000","79,700","81,700","132,800","82,000.0","36,600.0","34,600.0"
24,"34,000.0","44,750.0","54,200.0","34,600.0","91,000.0","116,000.0","33,300","29,200.0","46,200.0","52,700.0","32,000.0","151,600","132,000","78,000","89,500.0","60,200.0","104,600.0","17,700.0","167,900","43,600.0","32,850.0","51,500.0","40,000.0","86,000","78,100","81,800","140,000","81,100.0","35,000.0","33,000.0"
25,"34,500.0","46,200.0","54,800.0","34,950.0","91,100.0","117,400.0","33,350","29,500.0","46,000.0","53,500.0","32,700.0","160,500","133,300","79,000","90,000.0","59,000.0","105,500.0","18,100.0","170,000","44,200.0","33,500.0","51,800.0","40,750.0","87,000","80,000","83,700","139,200","81,200.0","35,950.0","34,000.0"
26,"34,200.0","45,150.0","57,400.0","34,650.0","91,300.0","114,500.0","33,750","29,250.0","46,000.0","53,800.0","32,650.0","158,100","132,900","78,100","90,200.0","59,000.0","106,300.0","18,200.0","168,400","44,900.0","33,600.0","51,600.0","40,400.0","87,000","80,000","82,900","139,200","80,400.0","35,650.0","34,300.0"
27,"34,300.0","46,000.0","56,900.0","34,900.0","92,800.0","118,700.0","34,000","29,750.0","46,500.0","54,900.0","33,200.0","163,000","134,500","79,000","92,000.0","60,000.0","107,900.0","18,600.0","170,500","45,000.0","33,900.0","52,200.0","41,150.0","87,500","80,800","83,100","141,600","80,800.0","36,300.0","34,450.0"
28,"33,850.0","44,700.0","57,300.0","34,600.0","92,200.0","117,000.0","33,600","29,500.0","47,050.0","54,000.0","32,650.0","163,300","134,000","78,500","91,200.0","59,800.0","107,000.0","18,550.0","169,400","45,200.0","33,350.0","51,600.0","40,800.0","87,200","79,700","82,200","149,000","80,600.0","35,900.0","33,600.0"
29,"34,400.0","45,250.0","57,200.0","34,400.0","93,500.0","115,800.0","34,600","29,600.0","46,650.0","54,200.0","32,650.0","160,300","133,900","78,500","91,200.0","59,900.0","106,500.0","18,400.0","169,600","46,000.0","33,200.0","51,500.0","40,900.0","87,400","80,000","83,600","146,000","81,000.0","35,900.0","34,100.0"
30,"34,700.0","46,000.0","56,300.0","34,600.0","92,900.0","116,500.0","34,250","29,550.0","46,400.0","53,900.0","34,400.0","157,500","137,700","78,100","89,800.0","62,000.0","110,000.0","17,800.0","168,400","45,000.0","33,700.0","51,400.0","41,500.0","86,800","79,300","82,000","142,800","80,000.0","35,550.0","34,500.0"
